Solution Length,Nodes Expanded,Runtime,Solution
BAD,2483,295.1087350845337,BAD
7,136,1.581796646118164,[24, 22, 20, 6, 8, 8, 14]
7,211,2.8424289226531982,[10, 20, 12, 22, 6, 4, 4]
7,301,4.705488681793213,[24, 10, 20, 4, 2, 6, 6]
7,147,1.7942297458648682,[20, 14, 18, 22, 8, 6, 14]
7,967,50.976035833358765,[16, 10, 20, 10, 22, 4, 10]
7,862,43.145678997039795,[24, 24, 16, 16, 22, 8, 6]
7,1718,140.2588722705841,[24, 8, 8, 12, 14, 16, 10]
7,334,7.548954010009766,[22, 14, 24, 6, 4, 2, 2]
7,178,2.895866632461548,[22, 18, 20, 22, 18, 2, 6]
7,534,12.959202766418457,[10, 12, 12, 22, 8, 2, 16]
7,383,7.163946628570557,[24, 12, 18, 14, 20, 2, 2]
7,1567,113.80001211166382,[12, 24, 10, 22, 24, 22, 10]
7,191,2.9018380641937256,[14, 20, 24, 6, 2, 2, 12]
4,9,0.08975791931152344,[14, 24, 8, 4]
7,592,16.20862102508545,[16, 20, 8, 2, 6, 12, 14]
7,388,7.6087682247161865,[18, 24, 4, 8, 6, 2, 12]
7,147,1.8121771812438965,[24, 22, 20, 20, 6, 8, 8]
7,362,7.363224506378174,[14, 12, 24, 8, 4, 16, 16]
4,22,0.2176821231842041,[12, 16, 22, 16]
7,492,14.197229623794556,[18, 22, 10, 22, 18, 2, 8]
7,651,21.78093433380127,[10, 20, 2, 4, 8, 8, 12]
7,1285,83.36528944969177,[22, 8, 4, 2, 2, 10, 12]
7,83,1.1449294090270996,[20, 24, 16, 18, 2, 6, 10]
7,359,8.571378469467163,[14, 16, 20, 6, 8, 2, 12]
BAD,837,40.413172483444214,BAD
BAD,26438,30433.25240254402,BAD
7,29,0.27027249336242676,[20, 18, 22, 18, 8, 2, 6]
7,514,14.184142112731934,[10, 20, 10, 20, 4, 12, 14]
4,38,0.38097262382507324,[10, 12, 16, 16]
7,198,9.664759159088135,[10, 22, 24, 8, 14, 16, 12]
7,526,55.21294045448303,[16, 22, 22, 6, 8, 4, 4]
7,510,32.42909908294678,[14, 14, 18, 4, 6, 8, 10]
7,1109,122.12777018547058,[20, 16, 20, 16, 18, 6, 8]
7,133,2.2270658016204834,[14, 24, 20, 8, 2, 12, 12]
7,157,2.593088150024414,[12, 24, 10, 22, 6, 2, 14]
7,2069,409.51265811920166,[22, 18, 10, 22, 20, 20, 4]
4,46,0.8368005752563477,[22, 16, 20, 20]
7,2922,668.3042953014374,[12, 22, 24, 10, 20, 20, 12]
7,354,14.652068853378296,[22, 20, 2, 2, 4, 4, 14]
7,1899,409.02619218826294,[14, 16, 18, 20, 24, 20, 2]
BAD,4741,1295.1247854232788,BAD
7,298,4.918065071105957,[24, 18, 6, 4, 8, 8, 10]
7,127,1.5638766288757324,[22, 22, 16, 20, 8, 2, 14]
7,239,3.8488636016845703,[10, 22, 10, 24, 8, 2, 6]
7,2808,352.2259609699249,[22, 22, 20, 22, 24, 22, 6]
7,786,26.228113174438477,[14, 24, 2, 4, 4, 10, 12]
7,1041,46.24289035797119,[10, 20, 16, 12, 18, 8, 2]
BAD,4480,877.9844622612,BAD
7,488,10.791290760040283,[14, 24, 4, 6, 2, 8, 16]
7,749,23.743422985076904,[14, 18, 22, 10, 24, 4, 16]
7,3059,414.1456482410431,[22, 16, 20, 10, 12, 22, 8]
7,118,1.4037716388702393,[22, 14, 18, 20, 6, 4, 4]
7,2288,223.83795475959778,[4, 6, 6, 8, 8, 14, 14]
7,195,2.6639814376831055,[24, 18, 20, 24, 22, 8, 4]
7,134,1.6615772247314453,[10, 20, 18, 18, 2, 4, 12]
7,770,25.082700490951538,[24, 18, 10, 10, 24, 8, 2]
7,627,16.777928113937378,[12, 22, 24, 22, 22, 4, 6]
7,437,8.669925689697266,[16, 14, 12, 18, 8, 2, 10]
BAD,3375,633.3103976249695,BAD
7,211,3.5440776348114014,[14, 18, 10, 20, 8, 2, 2]
7,74,0.837761640548706,[24, 20, 12, 22, 8, 2, 10]
7,656,21.002593994140625,[12, 24, 8, 4, 4, 10, 16]
BAD,3136,449.3707437515259,BAD
